problem,num_qubits,density,seed,fraction,gs,fes,gap
maxcut,9,0.7,777,0.0,-9.0,-7.0,2.0
maxcut,9,0.7,777,0.1,-9.3661,-7.7154,1.6507
maxcut,9,0.7,777,0.2,-9.7676,-8.4656,1.302
maxcut,9,0.7,777,0.3,-10.2128,-9.2594,0.9534
maxcut,9,0.7,777,0.4,-10.7204,-10.1109,0.6095
maxcut,9,0.7,777,0.5,-11.3369,-11.0426,0.2943
maxcut,9,0.7,777,0.6,-12.1672,-12.0873,0.0799
maxcut,9,0.7,777,0.7,-13.2936,-13.284,0.0096
maxcut,9,0.7,777,0.8,-14.6695,-14.6691,0.0004
maxcut,9,0.7,777,0.9,-16.2558,-16.2464,0.0094
maxcut,9,0.7,777,1.0,-18.0,-17.0,1.0
maxcut,9,0.8,777,0.0,-9.0,-7.0,2.0
maxcut,9,0.8,777,0.1,-9.5176,-7.842,1.6756
maxcut,9,0.8,777,0.2,-10.0714,-8.7149,1.3565
maxcut,9,0.8,777,0.3,-10.6658,-9.6236,1.0422
maxcut,9,0.8,777,0.4,-11.3105,-10.577,0.7335
maxcut,9,0.8,777,0.5,-12.027,-11.5916,0.4354
maxcut,9,0.8,777,0.6,-12.8708,-12.6996,0.1712
maxcut,9,0.8,777,0.7,-13.9848,-13.9626,0.0222
maxcut,9,0.8,777,0.8,-15.4535,-15.4531,0.0004
maxcut,9,0.8,777,0.9,-17.155,-16.3882,0.7668
maxcut,9,0.8,777,1.0,-19.0,-18.0,1.0
maxcut,9,0.9,777,0.0,-9.0,-7.0,2.0
maxcut,9,0.9,777,0.1,-9.669,-7.9908,1.6782
maxcut,9,0.9,777,0.2,-10.3756,-9.0134,1.3622
maxcut,9,0.9,777,0.3,-11.1219,-10.0714,1.0505
maxcut,9,0.9,777,0.4,-11.9154,-11.1719,0.7435
maxcut,9,0.9,777,0.5,-12.7747,-12.3292,0.4455
maxcut,9,0.9,777,0.6,-13.751,-13.5709,0.1801
maxcut,9,0.9,777,0.7,-14.9716,-14.9438,0.0278
maxcut,9,0.9,777,0.8,-16.4893,-16.4883,0.001
maxcut,9,0.9,777,0.9,-18.1877,-18.0434,0.1443
maxcut,9,0.9,777,1.0,-20.0,-19.0,1.0
maxcut,9,1.0,777,0.0,-9.0,-7.0,2.0
maxcut,9,1.0,777,0.1,-9.921,-8.1628,1.7582
maxcut,9,1.0,777,0.2,-10.8795,-9.3503,1.5292
maxcut,9,1.0,777,0.3,-11.871,-10.5617,1.3093
maxcut,9,1.0,777,0.4,-12.8937,-11.797,1.0967
maxcut,9,1.0,777,0.5,-13.9476,-13.0575,0.8901
maxcut,9,1.0,777,0.6,-15.0353,-14.3461,0.6892
maxcut,9,1.0,777,0.7,-16.1627,-15.6684,0.4943
maxcut,9,1.0,777,0.8,-17.3423,-17.0351,0.3072
maxcut,9,1.0,777,0.9,-18.6014,-18.4668,0.1346
maxcut,9,1.0,777,1.0,-20.0,-18.0,2.0
maxcut,10,0.5,777,0.0,-10.0,-8.0,2.0
maxcut,10,0.5,777,0.1,-10.0641,-8.3885,1.6756
maxcut,10,0.5,777,0.2,-10.1608,-8.8057,1.3551
maxcut,10,0.5,777,0.3,-10.3001,-9.2596,1.0405
maxcut,10,0.5,777,0.4,-10.4976,-9.7622,0.7354
maxcut,10,0.5,777,0.5,-10.7815,-10.3313,0.4502
maxcut,10,0.5,777,0.6,-11.2026,-10.9927,0.2099
